Bates Technical College
Bellevue College
Bellingham Technical College
Big Bend Community College
Cascadia College
Central Washington University
Centralia College
Clark College
Clover Park Technical College
Columbia Basin College
Eastern Washington University
Eastern Washington University-Bellevue College
Eastern Washington University-Clark College
Eastern Washington University-Lake Washington Institute of Technology-Kirkland
Eastern Washington University-Lower Columbia College
Eastern Washington University-Spokane
Edmonds Community College
Everett Community College
Evergreen State College
Gonzaga University
Gonzaga University 
Grays Harbor College
Green River Community College
Heritage University 
Highline College
ITT Technical Institute-Everett
ITT Technical Institute-Seattle
ITT Technical Institute-Spokane
Lake Washington Institute of Technology
Le Cordon Bleu College of Culinary Arts-Seattle
Lower Columbia College
North Seattle College
Northwest Indian College (A tribal community college)
Olympic College
Other
Out-of-State Community/Technical College
Out-of-state Private 4-Year college and/or university
Out-of-state Public 4-Year college and/or university
Pacific Lutheran University 
Peninsula College
Pierce College - Fort Steilacoom/Puyallup
Renton Technical College
Saint Martin's University  
Seattle Central College
Seattle Pacific University
Seattle University 
Shoreline Community College
Skagit Valley College
South Puget Sound Community College
South Seattle College
Spokane Community College
Spokane Community College 
Spokane Falls Community College
Spokane Falls Community College
Tacoma Community College
University of Puget Sound 
University of Washington
University of Washington-Bothell
University of Washington-Tacoma
Walla Walla Community College
Walla Walla University 
Washington State University
Washington State University Everett
Washington State University Spokane
Washington State University Tri-Cities
Wenatchee Valley College
Western Washington University
Whatcom Community College
Whitman College 
Whitworth University
Yakima Valley Community College






























































